Uid,Latitude,Longtitude,CO,PM10,PM25,AQI
0,44.382361,-79.702306,-,-,30,30
1,44.150528,-77.3955,-,-,34,34
2,43.69875,-79.780917,-,-,30,30
3,43.138611,-80.292639,-,-,13,24
4,43.315111,-79.802639,-,-,25,25
5,42.403694,-82.208306,-,-,25,25
6,-74.735222,45.017972,-,-,17,17
7,-78.932944,45.224278,-,-,30,30
8,43.333083,-81.742889,-,-,17,18
9,43.551611,-80.264167,-,-,30,30
10,43.257778,-79.861667,1.7,-,21,28
11,43.229417,-79.862778,-,-,25,30
12,43.257444,-79.90775,-,-,21,27
13,44.219722,-76.521111,-,-,9,18
14,-80.503806,43.443833,-,-,25,25
15,42.97446,-81.200858,-,-,21,23
16,43.54697,-79.65869,-,-,25,25
17,44.89975,-75.189944,-,-,-,-
18,44.044306,-79.48325,-,-,17,31
19,46.323194,-79.449278,-,-,17,17
20,43.486917,-79.702278,-,-,21,27
21,43.945944,-78.894917,-,-,38,38
22,45.382528,-75.714194,-,-,13,14
23,45.434333,-75.676,2,-,9,9
24,45.337861,-80.038167,-,-,21,21
25,45.996722,-77.441194,-,-,55,55
26,-78.346222,44.301917,-,-,13,23
27,42.672083,-81.162889,-,-,9,38
28,42.982278,-82.405083,-,-,42,42
29,46.533194,-84.309917,-,-,9,15
30,43.160056,-79.23475,-,-,21,31
31,46.49194,-81.003105,-,-,5,26
32,-89.290167,48.379389,-,-,5,10
33,-81.549722,44.314472,-,-,9,31
34,43.662972,-79.388111,-,-,13,23
35,43.747917,-79.274056,-,-,38,38
36,43.781611,-79.417722,-,-,38,38
37,43.709444,-79.5435,2,-,30,30
38,-83.043667,42.315778,2.5,-,30,30
39,42.292889,-83.073139,-,-,34,34
40,-133.714063,68.356994,1.5,-,5,5
41,65.279676,-126.812887,-,12,-,12
42,62.452084,-114.364031,1.5,7,5,22
58,41.0522,-73.7642,-,-,6,6
59,40.8197,-73.9481,1.2,-,13,13
60,40.814701,-73.886703,1.2,-,14,14
61,40.641819,-74.018707,-,-,6,6
62,40.7269,-73.8933,1.2,-,6,6
63,40.7447,-73.5869,-,-,5,5
64,40.8492,-73.9319,1.2,-,17,17
65,40.5802,-74.1994,-,-,6,6
67,44.61569,-123.091457,-,10,17,17
68,42.290094,-123.2321,-,13,17,17
69,44.78822,-117.8446,-,13,19,19
70,45.4702,-122.8159,2.2,9,16,17
71,44.063916,-121.312554,-,15,18,18
72,43.58925,-119.048302,-,12,13,13
73,-123.64835,42.1617,-,12,13,13
74,44.5884,-123.2673,-,8,8,8
75,45.426351,-117.296066,-,14,24,24
76,42.434149,-123.348466,-,13,16,16
77,45.828968,-119.262991,-,17,30,30
78,45.528501,-122.972398,2.2,8,8,17
79,44.417999,-118.951302,-,12,13,13
80,42.190296,-121.731369,-,14,25,25
81,45.339,-118.095206,-,17,27,27
82,42.189215,-120.353969,-,11,14,14
83,44.778743,-122.617048,-,25,58,58
84,42.31411,-122.87923,-,15,21,21
85,-118.823033,45.652231,-,17,30,30
86,45.496641,-122.602877,2.2,10,15,15
87,44.299787,-120.844773,-,15,20,20
88,-123.36479,43.2266,-,11,8,11
89,44.943114,-123.005934,-,8,8,15
90,42.623225,-122.810158,-,11,8,21
91,45.014998,-122.790382,-,19,50,50
92,44.2921,-121.5555,-,5,20,20
93,44.3958,-122.7305,-,8,11,11
94,45.602419,-121.203387,-,18,38,38
95,44.630600,-121.131599,-,46,-,46
96,-123.83173,46.97228,-,-,21,21
97,47.64476,-117.58913,-,16,19,-
98,48.520590,-122.61428,-,-,17,17
99,48.4654,-122.56,-,-,8,25
